d (mm),trans ratio (incident 700 mV),H-rev (on rotational mount),cam pos (mm)
0,0.114285714285714,0,0
0.0409367018097853,0.0857142857142857,2,5
0.0818830189810923,0.0642857142857143,4,8
0.122848569521431,0.0642857142857143,6,12
0.163842976727926,0.0642857142857143,8,14
0.204875871826193,0.0557142857142857,10,18
0.262605062472077,0.0557142857142857,12.809730417679,23
0.310239382971986,0.0557142857142857,15.1237417563346,27
0.369921273011278,0.0471428571428571,18.0162559296541,32
0.429785003208295,0.0428571428571429,20.9087701029735,37
0.50190300141827,0.0342857142857143,24.3797871109568,43
0.513955837963081,0.0285714285714286,24.9582899456207,44
0.635079545292268,0.0214285714285714,30.7433182922596,54
