d (mm),trans % (incident 700 mV),H-rev (on rotational mount),cam pos (mm),FWHM (us),saved as,finesse (arb unit)
0,0.14,0,0,60,DS0005,0.0166666666666667
0.0409367018097853,0.101428571428571,2,,60,DS0006,0.0166666666666667
0.0818830189810923,0.0685714285714286,4,,75,DS0007,0.0133333333333333
0.122848569521431,0.06,6,14,80,DS0008,0.0125
0.163842976727926,0.0457142857142857,8,20,130,DS0009,0.00769230769230769
0.204875871826193,0.0385714285714286,10,25,140,DS0001,0.00714285714285714
0.239791295223636,0.0314285714285714,11.7,29,130,DS0002,0.00769230769230769
0.26446163195511,0.0271428571428571,12.9,32,150,DS0003,0.00666666666666667
0.388190669174968,0.0251428571428571,18.9,47,180,DS0004,0.00555555555555556
0.487752552825041,0.0242857142857143,23.7,59,195,DS0010,0.00512820512820513
0.562850030533159,0.0257142857142857,27.3,68,180,DS0011,0.00555555555555556
0.638376362861699,0.0217142857142857,30.9,77,180,DS0012,0.00555555555555556
0.705917531608136,0.0214285714285714,34.1,85,160,DS0013,0.00625
