d (mm),trans ratio (incident 1180 mV),H-rev (on rotational mount),cam pos (mm)
0,0.122881355932203,0,
0.0614080574427913,0.11864406779661,3,
0.122848569521431,0.0686440677966102,6,
0.18435401095726,0.0627118644067797,9,
0.283739891170829,0.0627118644067797,13.8369704749679,19
0.371981575675883,0.0601694915254237,18.1159606332905,25
0.534866242062705,0.0423728813559322,25.9607759235487,36
0.699686420154866,0.0322033898305085,33.8055912138069,47
0.928642602248338,0.0203389830508475,44.5030666096135,62
1.2924149389618,0.0169491525423729,60.9058622165169,85
