d (mm),trans ratio (incident 1180 mV),V-rev (on rotational mount),cam pos (mm)
0,0.148305084745763,0,0
0.020467749975811,0.145762711864407,1,
0.0409367018097853,0.120338983050847,2,
0.0614080574427913,0.0957627118644068,3,5
0.0818830189810923,0.0805084745762712,4,6
0.102362788778991,0.0728813559322034,5,8
-0.020467749975811,0.145762711864407,-1,
-0.0409367018097853,0.121186440677966,-2,-5
-0.0614080574427913,0.0923728813559322,-3,-8
-0.0818830189810923,0.076271186440678,-4,-9
-0.102362788778991,0.0720338983050847,-5,-10
-0.122848569521431,0.0677966101694915,-6,-10
-0.143341564306513,0.0677966101694915,-7,-14
-0.163842976727926,0.0669491525423729,-8,-16
-0.18435401095726,0.0686440677966102,-9,-18
-0.204875871826193,0.0677966101694915,-10,-18
-0.225409764908529,0.0627118644067797,-11,-23
-0.245956896602064,0.0601694915254237,-12,-25
-0.266518474210267,0.0576271186440678,-13,-25
0.122848569521431,0.0694915254237288,6,10
0.143341564306513,0.0694915254237288,7,13
0.18435401095726,0.0677966101694915,9,16
0.391532415173241,0.0440677966101695,19.0615580556145,35
0.446505592240776,0.0440677966101695,21.7149225217576,40
0.579238469616289,0.038135593220339,28.082997240501,52
0.446505592240776,0.0440677966101695,21.7149225217576,40
0.347671576728097,0.0474576271186441,16.9388664827001,31
0.282049254122087,0.0567796610169492,13.7548291233284,25
0.227493948903857,0.0627118644067797,11.1014646571853,20
-0.174782952816365,0.0677966101694915,-8.5334323922734,-17
-0.426263989335913,0.0474576271186441,-20.7389089365315,-40
-0.382322208117726,0.0474576271186441,-18.6162173636171,-36
-0.316595680239364,0.0491525423728814,-15.4321800042454,-30
-0.481351294578771,0.0466101694915254,-23.3922734026746,-45
-0.547720983795136,0.0389830508474576,-26.5763107620463,-51
-0.625567660088917,0.0330508474576271,-30.2910210146466,-58
