Format,2.0E,
Memory Length,10000,
IntpDistance,0,
Trigger Address,5129,
Trigger Level,6.360E-01,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,1.000E-01,
Vertical Position,-3.320E-01,
Horizontal Units,S,
Horizontal Scale,5.000E-07,
Horizontal Position,-1.300E-07,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,1.000E-09,
Horizontal Old Scale,5.000E-07,
Horizontal Old Position,-1.300E-07,
Firmware,V1.26,
Time,24-Aug-19 05:19:39,
Mode,Detail,
Waveform Data,
-5.130000e-06,2.40e-02,
-5.129000e-06,2.00e-02,
-5.128000e-06,2.40e-02,
-5.127000e-06,2.00e-02,
-5.126000e-06,2.40e-02,
-5.125000e-06,2.40e-02,
-5.124000e-06,2.80e-02,
-5.123000e-06,2.40e-02,
-5.122000e-06,2.40e-02,
-5.121000e-06,2.40e-02,
-5.120000e-06,2.80e-02,
-5.119000e-06,2.40e-02,
-5.118000e-06,2.40e-02,
-5.117000e-06,2.40e-02,
-5.116000e-06,2.40e-02,
-5.115000e-06,2.40e-02,
-5.114000e-06,2.80e-02,
-5.113000e-06,2.80e-02,
-5.112000e-06,3.20e-02,
-5.111000e-06,3.20e-02,
-5.110000e-06,3.60e-02,
-5.109000e-06,3.20e-02,
-5.108000e-06,3.20e-02,
-5.107000e-06,3.20e-02,
-5.106000e-06,3.20e-02,
-5.105000e-06,3.20e-02,
-5.104000e-06,3.20e-02,
-5.103000e-06,2.80e-02,
-5.102000e-06,3.20e-02,
-5.101000e-06,2.80e-02,
-5.100000e-06,3.20e-02,
-5.099000e-06,3.20e-02,
-5.098000e-06,3.20e-02,
-5.097000e-06,3.20e-02,
-5.096000e-06,3.60e-02,
-5.095000e-06,3.20e-02,
-5.094000e-06,3.20e-02,
-5.093000e-06,3.20e-02,
-5.092000e-06,3.60e-02,
-5.091000e-06,3.20e-02,
-5.090000e-06,3.60e-02,
-5.089000e-06,3.20e-02,
-5.088000e-06,2.80e-02,
-5.087000e-06,3.20e-02,
-5.086000e-06,3.20e-02,
-5.085000e-06,3.20e-02,
-5.084000e-06,3.20e-02,
-5.083000e-06,2.80e-02,
-5.082000e-06,2.80e-02,
-5.081000e-06,2.40e-02,
-5.080000e-06,2.40e-02,
-5.079000e-06,2.40e-02,
-5.078000e-06,2.80e-02,
-5.077000e-06,2.80e-02,
-5.076000e-06,3.20e-02,
-5.075000e-06,2.80e-02,
-5.074000e-06,3.20e-02,
-5.073000e-06,2.80e-02,
-5.072000e-06,3.20e-02,
-5.071000e-06,2.80e-02,
-5.070000e-06,2.80e-02,
-5.069000e-06,2.80e-02,
-5.068000e-06,2.80e-02,
-5.067000e-06,2.40e-02,
-5.066000e-06,2.80e-02,
-5.065000e-06,2.40e-02,
-5.064000e-06,2.40e-02,
-5.063000e-06,2.40e-02,
-5.062000e-06,2.80e-02,
-5.061000e-06,2.40e-02,
-5.060000e-06,2.40e-02,
-5.059000e-06,2.40e-02,
-5.058000e-06,2.40e-02,
-5.057000e-06,2.40e-02,
-5.056000e-06,2.40e-02,
-5.055000e-06,2.00e-02,
-5.054000e-06,2.40e-02,
-5.053000e-06,2.40e-02,
-5.052000e-06,2.80e-02,
-5.051000e-06,2.40e-02,
-5.050000e-06,3.20e-02,
-5.049000e-06,2.80e-02,
-5.048000e-06,2.80e-02,
-5.047000e-06,2.80e-02,
-5.046000e-06,2.80e-02,
-5.045000e-06,2.80e-02,
-5.044000e-06,2.80e-02,
-5.043000e-06,2.40e-02,
-5.042000e-06,2.80e-02,
-5.041000e-06,2.80e-02,
-5.040000e-06,3.20e-02,
-5.039000e-06,2.80e-02,
-5.038000e-06,3.20e-02,
-5.037000e-06,2.80e-02,
-5.036000e-06,3.20e-02,
-5.035000e-06,2.80e-02,
-5.034000e-06,2.80e-02,
-5.033000e-06,2.80e-02,
-5.032000e-06,2.40e-02,
-5.031000e-06,2.40e-02,
-5.030000e-06,2.40e-02,
-5.029000e-06,2.80e-02,
-5.028000e-06,2.80e-02,
-5.027000e-06,3.20e-02,
-5.026000e-06,3.20e-02,
-5.025000e-06,3.20e-02,
-5.024000e-06,3.60e-02,
-5.023000e-06,3.20e-02,
-5.022000e-06,3.60e-02,
-5.021000e-06,3.20e-02,
-5.020000e-06,3.20e-02,
-5.019000e-06,2.80e-02,
-5.018000e-06,2.80e-02,
-5.017000e-06,2.80e-02,
-5.016000e-06,2.80e-02,
-5.015000e-06,2.80e-02,
-5.014000e-06,2.80e-02,
-5.013000e-06,2.80e-02,
-5.012000e-06,2.80e-02,
-5.011000e-06,2.80e-02,
-5.010000e-06,2.80e-02,
-5.009000e-06,2.80e-02,
-5.008000e-06,3.20e-02,
-5.007000e-06,2.80e-02,
-5.006000e-06,3.20e-02,
-5.005000e-06,2.80e-02,
-5.004000e-06,3.20e-02,
-5.003000e-06,2.80e-02,
-5.002000e-06,2.80e-02,
-5.001000e-06,2.80e-02,
-5.000000e-06,2.80e-02,
-4.999000e-06,2.40e-02,
-4.998000e-06,2.40e-02,
-4.997000e-06,2.40e-02,
-4.996000e-06,2.40e-02,
-4.995000e-06,2.40e-02,
-4.994000e-06,2.40e-02,
-4.993000e-06,2.00e-02,
-4.992000e-06,2.40e-02,
-4.991000e-06,2.40e-02,
-4.990000e-06,2.80e-02,
-4.989000e-06,2.40e-02,
-4.988000e-06,2.80e-02,
-4.987000e-06,2.80e-02,
-4.986000e-06,3.20e-02,
-4.985000e-06,2.80e-02,
-4.984000e-06,3.20e-02,
-4.983000e-06,2.80e-02,
-4.982000e-06,3.20e-02,
-4.981000e-06,3.20e-02,
-4.980000e-06,3.60e-02,
-4.979000e-06,3.60e-02,
-4.978000e-06,3.60e-02,
-4.977000e-06,3.20e-02,
-4.976000e-06,3.20e-02,
-4.975000e-06,3.20e-02,
-4.974000e-06,3.20e-02,
-4.973000e-06,2.80e-02,
-4.972000e-06,3.20e-02,
-4.971000e-06,2.80e-02,
-4.970000e-06,3.20e-02,
-4.969000e-06,2.80e-02,
-4.968000e-06,3.20e-02,
-4.967000e-06,2.80e-02,
-4.966000e-06,3.20e-02,
-4.965000e-06,3.20e-02,
-4.964000e-06,3.20e-02,
-4.963000e-06,2.80e-02,
-4.962000e-06,2.80e-02,
-4.961000e-06,2.40e-02,
-4.960000e-06,2.80e-02,
-4.959000e-06,2.40e-02,
-4.958000e-06,2.40e-02,
-4.957000e-06,2.40e-02,
-4.956000e-06,2.80e-02,
-4.955000e-06,2.80e-02,
-4.954000e-06,2.80e-02,
-4.953000e-06,3.20e-02,
-4.952000e-06,2.80e-02,
-4.951000e-06,2.80e-02,
-4.950000e-06,3.20e-02,
-4.949000e-06,2.80e-02,
-4.948000e-06,2.80e-02,
-4.947000e-06,2.80e-02,
-4.946000e-06,2.40e-02,
-4.945000e-06,2.40e-02,
-4.944000e-06,2.80e-02,
-4.943000e-06,2.40e-02,
-4.942000e-06,2.40e-02,
-4.941000e-06,2.40e-02,
-4.940000e-06,2.40e-02,
-4.939000e-06,2.40e-02,
-4.938000e-06,2.80e-02,
-4.937000e-06,2.80e-02,
-4.936000e-06,3.20e-02,
-4.935000e-06,2.80e-02,
-4.934000e-06,3.20e-02,
-4.933000e-06,2.80e-02,
-4.932000e-06,3.20e-02,
-4.931000e-06,2.80e-02,
-4.930000e-06,3.20e-02,
-4.929000e-06,3.20e-02,
-4.928000e-06,3.20e-02,
-4.927000e-06,3.20e-02,
-4.926000e-06,3.60e-02,
-4.925000e-06,3.20e-02,
-4.924000e-06,3.20e-02,
-4.923000e-06,2.80e-02,
-4.922000e-06,3.20e-02,
-4.921000e-06,2.80e-02,
