Format,2.0E,
Memory Length,1000,
IntpDistance,0,
Trigger Address,999,
Trigger Level,4.245E+00,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,2.000E-02,
Vertical Position,-8.160E-02,
Horizontal Units,S,
Horizontal Scale,2.000E-05,
Horizontal Position,-1.000E-04,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,2.000E-07,
Horizontal Old Scale,2.000E-05,
Horizontal Old Position,-1.000E-04,
Firmware,V1.26,
Time,23-Aug-19 05:48:46,
Mode,Detail,
Waveform Data,
-2.000000e-04,2.16e-02,
-1.998000e-04,2.16e-02,
-1.996000e-04,2.16e-02,
-1.994000e-04,2.16e-02,
-1.992000e-04,2.16e-02,
-1.990000e-04,2.16e-02,
-1.988000e-04,2.16e-02,
-1.986000e-04,2.16e-02,
-1.984000e-04,2.24e-02,
-1.982000e-04,2.16e-02,
-1.980000e-04,2.16e-02,
-1.978000e-04,2.16e-02,
-1.976000e-04,2.08e-02,
-1.974000e-04,2.08e-02,
-1.972000e-04,2.16e-02,
-1.970000e-04,2.16e-02,
-1.968000e-04,2.16e-02,
-1.966000e-04,2.16e-02,
-1.964000e-04,2.16e-02,
-1.962000e-04,2.24e-02,
-1.960000e-04,2.16e-02,
-1.958000e-04,2.16e-02,
-1.956000e-04,2.24e-02,
-1.954000e-04,2.08e-02,
-1.952000e-04,2.16e-02,
-1.950000e-04,2.16e-02,
-1.948000e-04,2.24e-02,
-1.946000e-04,2.24e-02,
-1.944000e-04,2.24e-02,
-1.942000e-04,2.24e-02,
-1.940000e-04,2.16e-02,
-1.938000e-04,2.16e-02,
-1.936000e-04,2.24e-02,
-1.934000e-04,2.16e-02,
-1.932000e-04,2.16e-02,
-1.930000e-04,2.16e-02,
-1.928000e-04,2.16e-02,
-1.926000e-04,2.08e-02,
-1.924000e-04,2.16e-02,
-1.922000e-04,2.16e-02,
-1.920000e-04,2.16e-02,
-1.918000e-04,2.24e-02,
-1.916000e-04,2.16e-02,
-1.914000e-04,2.08e-02,
-1.912000e-04,2.08e-02,
-1.910000e-04,2.16e-02,
-1.908000e-04,2.16e-02,
-1.906000e-04,2.16e-02,
-1.904000e-04,2.16e-02,
-1.902000e-04,2.24e-02,
-1.900000e-04,2.24e-02,
-1.898000e-04,2.16e-02,
-1.896000e-04,2.16e-02,
-1.894000e-04,2.16e-02,
-1.892000e-04,2.16e-02,
-1.890000e-04,2.16e-02,
-1.888000e-04,2.16e-02,
-1.886000e-04,2.16e-02,
-1.884000e-04,2.16e-02,
-1.882000e-04,2.24e-02,
-1.880000e-04,2.16e-02,
-1.878000e-04,2.16e-02,
-1.876000e-04,2.16e-02,
-1.874000e-04,2.16e-02,
-1.872000e-04,2.16e-02,
-1.870000e-04,2.16e-02,
-1.868000e-04,2.16e-02,
-1.866000e-04,2.16e-02,
-1.864000e-04,2.16e-02,
-1.862000e-04,2.24e-02,
-1.860000e-04,2.24e-02,
-1.858000e-04,2.16e-02,
-1.856000e-04,2.16e-02,
-1.854000e-04,2.16e-02,
-1.852000e-04,2.16e-02,
-1.850000e-04,2.16e-02,
-1.848000e-04,2.16e-02,
-1.846000e-04,2.24e-02,
-1.844000e-04,2.16e-02,
-1.842000e-04,2.16e-02,
-1.840000e-04,2.16e-02,
-1.838000e-04,2.08e-02,
-1.836000e-04,2.16e-02,
-1.834000e-04,2.16e-02,
-1.832000e-04,2.16e-02,
-1.830000e-04,2.16e-02,
-1.828000e-04,2.16e-02,
-1.826000e-04,2.16e-02,
-1.824000e-04,2.24e-02,
-1.822000e-04,2.16e-02,
-1.820000e-04,2.24e-02,
-1.818000e-04,2.16e-02,
-1.816000e-04,2.24e-02,
-1.814000e-04,2.16e-02,
-1.812000e-04,2.16e-02,
-1.810000e-04,2.16e-02,
-1.808000e-04,2.16e-02,
-1.806000e-04,2.16e-02,
-1.804000e-04,2.08e-02,
-1.802000e-04,2.16e-02,
-1.800000e-04,2.24e-02,
-1.798000e-04,2.16e-02,
-1.796000e-04,2.16e-02,
-1.794000e-04,2.24e-02,
-1.792000e-04,2.16e-02,
-1.790000e-04,2.16e-02,
-1.788000e-04,2.24e-02,
-1.786000e-04,2.16e-02,
-1.784000e-04,2.16e-02,
-1.782000e-04,2.16e-02,
-1.780000e-04,2.16e-02,
-1.778000e-04,2.16e-02,
-1.776000e-04,2.24e-02,
-1.774000e-04,2.16e-02,
-1.772000e-04,2.16e-02,
-1.770000e-04,2.16e-02,
-1.768000e-04,2.16e-02,
-1.766000e-04,2.16e-02,
-1.764000e-04,2.16e-02,
-1.762000e-04,2.24e-02,
-1.760000e-04,2.16e-02,
-1.758000e-04,2.16e-02,
-1.756000e-04,2.16e-02,
-1.754000e-04,2.24e-02,
-1.752000e-04,2.16e-02,
-1.750000e-04,2.16e-02,
-1.748000e-04,2.24e-02,
-1.746000e-04,2.08e-02,
-1.744000e-04,2.16e-02,
-1.742000e-04,2.16e-02,
-1.740000e-04,2.16e-02,
-1.738000e-04,2.16e-02,
-1.736000e-04,2.16e-02,
-1.734000e-04,2.16e-02,
-1.732000e-04,2.16e-02,
-1.730000e-04,2.16e-02,
-1.728000e-04,2.16e-02,
-1.726000e-04,2.16e-02,
-1.724000e-04,2.24e-02,
-1.722000e-04,2.16e-02,
-1.720000e-04,2.16e-02,
-1.718000e-04,2.24e-02,
-1.716000e-04,2.16e-02,
-1.714000e-04,2.16e-02,
-1.712000e-04,2.24e-02,
-1.710000e-04,2.16e-02,
-1.708000e-04,2.16e-02,
-1.706000e-04,2.24e-02,
-1.704000e-04,2.24e-02,
-1.702000e-04,2.16e-02,
-1.700000e-04,2.16e-02,
-1.698000e-04,2.24e-02,
-1.696000e-04,2.16e-02,
-1.694000e-04,2.16e-02,
-1.692000e-04,2.16e-02,
-1.690000e-04,2.16e-02,
-1.688000e-04,2.24e-02,
-1.686000e-04,2.24e-02,
-1.684000e-04,2.16e-02,
-1.682000e-04,2.16e-02,
-1.680000e-04,2.16e-02,
-1.678000e-04,2.16e-02,
-1.676000e-04,2.24e-02,
-1.674000e-04,2.16e-02,
-1.672000e-04,2.16e-02,
-1.670000e-04,2.16e-02,
-1.668000e-04,2.16e-02,
-1.666000e-04,2.08e-02,
-1.664000e-04,2.16e-02,
-1.662000e-04,2.08e-02,
-1.660000e-04,2.16e-02,
-1.658000e-04,2.16e-02,
-1.656000e-04,2.08e-02,
-1.654000e-04,2.16e-02,
-1.652000e-04,2.16e-02,
-1.650000e-04,2.16e-02,
-1.648000e-04,2.16e-02,
-1.646000e-04,2.16e-02,
-1.644000e-04,2.16e-02,
-1.642000e-04,2.16e-02,
-1.640000e-04,2.24e-02,
-1.638000e-04,2.16e-02,
-1.636000e-04,2.24e-02,
