"Time","Loadlock ion pump","Main ion pump"
2022-08-07 10:00:00,,
2022-08-07 10:30:00,,
2022-08-07 11:00:00,,
2022-08-07 11:30:00,,
2022-08-07 12:00:00,,
2022-08-07 12:30:00,,
2022-08-07 13:00:00,,
2022-08-07 13:30:00,,
2022-08-07 14:00:00,,
2022-08-07 14:30:00,,
2022-08-07 15:00:00,,
2022-08-07 15:30:00,,
2022-08-07 16:00:00,,
2022-08-07 16:30:00,,
2022-08-07 17:00:00,,
2022-08-07 17:30:00,,
2022-08-07 18:00:00,,
2022-08-07 18:30:00,,
2022-08-07 19:00:00,,
2022-08-07 19:30:00,,
2022-08-07 20:00:00,,
2022-08-07 20:30:00,,
2022-08-07 21:00:00,,
2022-08-07 21:30:00,,
2022-08-07 22:00:00,,
2022-08-07 22:30:00,,
2022-08-07 23:00:00,,
2022-08-07 23:30:00,,
2022-08-08 00:00:00,,
2022-08-08 00:30:00,,
2022-08-08 01:00:00,,
2022-08-08 01:30:00,,
2022-08-08 02:00:00,,
2022-08-08 02:30:00,,
2022-08-08 03:00:00,,
2022-08-08 03:30:00,,
2022-08-08 04:00:00,,
2022-08-08 04:30:00,,
2022-08-08 05:00:00,,
2022-08-08 05:30:00,,
2022-08-08 06:00:00,,
2022-08-08 06:30:00,,
2022-08-08 07:00:00,,
2022-08-08 07:30:00,,
2022-08-08 08:00:00,,
2022-08-08 08:30:00,,
2022-08-08 09:00:00,,
2022-08-08 09:30:00,,
2022-08-08 10:00:00,,
2022-08-08 10:30:00,,
2022-08-08 11:00:00,,
2022-08-08 11:30:00,,
2022-08-08 12:00:00,,
2022-08-08 12:30:00,,
2022-08-08 13:00:00,,
2022-08-08 13:30:00,,
2022-08-08 14:00:00,,
2022-08-08 14:30:00,,
2022-08-08 15:00:00,,
2022-08-08 15:30:00,,
2022-08-08 16:00:00,,
2022-08-08 16:30:00,,
2022-08-08 17:00:00,,
2022-08-08 17:30:00,,
2022-08-08 18:00:00,,
2022-08-08 18:30:00,,
2022-08-08 19:00:00,,
